Ligand Name,Source,Docking Score,Molecular Weight,LogP,H-Bond Donors,H-Bond Acceptors,TPSA,Rotatable Bonds,QED Score,SA Score,Min Distance (Å),Close Interactions,Interaction Density
CHEMBL501238,ChEMBL,0.26658806766043947,974.0410000000019,0.9983000000000075,8,14,270.82,20,0.05762837235996858,0.1,0.7361984696465106,76,0.6031746031746031
CHEMBL409812,ChEMBL,0.26299791611476203,474.68599999999947,6.233000000000007,3,4,95.5,22,0.20701685494347044,0.28,0.7703738325209281,49,0.6125
CHEMBL503873,ChEMBL,0.2604742897881372,1333.6100000000035,3.9300000000000193,7,24,314.2,43,0.041431710807229474,0.1,0.3700830473462709,127,0.6287128712871287
CHEMBL440249,ChEMBL,0.24513655845842605,2598.156999999968,-5.586400000000002,35,41,979.3600000000005,57,0.016725696819825376,0.1,0.5203450255581512,255,0.7522123893805309
CHEMBL505936,ChEMBL,0.23661628117902178,612.8890000000029,6.0321000000000105,5,8,136.68,33,0.05898947905020486,0.1,0.7955995884442181,65,0.6074766355140186
CHEMBL505931,ChEMBL,0.23576231903628658,1325.4520000000039,-4.514199999999994,16,30,460.7400000000002,40,0.06103336919501653,0.1,0.791320879452706,141,0.734375
CHEMBL265174,ChEMBL,0.23559885235451647,326.4359999999995,4.545500000000004,0,3,35.53,6,0.45240137778132916,0.31999999999999995,1.432528793521423,21,0.42
CHEMBL500202,ChEMBL,0.2352305108058734,672.7870000000019,1.7781000000000031,0,12,115.22,14,0.1941502170013646,0.1,0.14564427922670065,61,0.6559139784946236
AI_Gen_013,AI_Generated,0.2319047538799312,79.10199999999998,1.0816,0,1,12.89,0,0.4531479654842905,0.84,3.0217069841545356,8,0.7272727272727273
CHEMBL501493,ChEMBL,0.22795344250819752,754.9110000000024,0.3331000000000089,8,14,217.21999999999997,17,0.13560863157261618,0.1,0.583077653057905,74,0.6434782608695652
CHEMBL265653,ChEMBL,0.2277361199988925,1040.1890000000021,-5.070700000000015,15,18,431.03999999999996,37,0.030956330722640046,0.1,0.4909074341332597,96,0.7058823529411765
CHEMBL501567,ChEMBL,0.22297444163192448,1115.394000000002,1.1734000000000098,12,14,323.0099999999999,34,0.03749387440003676,0.1,0.22032524292743352,82,0.5394736842105263
CHEMBL501918,ChEMBL,0.22193359369406182,857.0000000000028,-0.5660999999999909,9,17,255.90999999999994,20,0.15178208421546727,0.1,0.4082538739612377,75,0.5859375
AI_Gen_012,AI_Generated,0.21231503547652597,98.18899999999992,2.5866000000000007,0,0,0.0,1,0.43656953206962734,0.8200000000000001,4.22701454743015,0,0.0
CHEMBL506057,ChEMBL,0.2112170293776805,551.6430000000017,4.5183000000000035,3,6,111.99000000000001,11,0.20840246151373448,0.1,0.6437002440680831,30,0.40540540540540543
